,Date,daynight_category,temp
2772,2014-04-06,day,8.059615384615382
2773,2014-04-06,night,8.061363636363636
2774,2014-04-07,day,9.307692307692307
2775,2014-04-07,night,9.254545454545452
2776,2014-04-08,day,9.332692307692305
2777,2014-04-08,night,9.46590909090909
2778,2014-04-09,day,8.594230769230771
2779,2014-04-09,night,8.95
2780,2014-04-10,day,7.576923076923079
2781,2014-04-10,night,8.170454545454541
2782,2014-04-11,day,8.001923076923077
2783,2014-04-11,night,8.329545454545451
2784,2014-04-12,day,9.238461538461543
2785,2014-04-12,night,9.138636363636365
2786,2014-04-13,day,8.969230769230771
2787,2014-04-13,night,9.306818181818182
2788,2014-04-14,day,8.892307692307693
2789,2014-04-14,night,9.222727272727273
2790,2014-04-15,day,9.023076923076925
2791,2014-04-15,night,9.156818181818183
2792,2014-04-16,day,8.482692307692318
2793,2014-04-16,night,8.731818181818177
2794,2014-04-17,day,8.390384615384615
2795,2014-04-17,night,8.431818181818185
2796,2014-04-18,day,7.70192307692308
2797,2014-04-18,night,8.047727272727277
2798,2014-04-19,day,6.888461538461536
2799,2014-04-19,night,7.538636363636365
2800,2014-04-20,day,7.946153846153847
2801,2014-04-20,night,8.149999999999999
2802,2014-04-21,day,8.713461538461537
2803,2014-04-21,night,8.902272727272722
2804,2014-04-22,day,8.944230769230767
2805,2014-04-22,night,9.056818181818185
2806,2014-04-23,day,7.694230769230767
2807,2014-04-23,night,7.752272727272726
2808,2014-04-24,day,8.198076923076924
2809,2014-04-24,night,8.120454545454548
2810,2014-04-25,day,8.034615384615384
2811,2014-04-25,night,8.54090909090909
2812,2014-04-26,day,8.040384615384617
2813,2014-04-26,night,8.43409090909091
2814,2014-04-27,day,7.886538461538464
2815,2014-04-27,night,8.156818181818181
2816,2014-04-28,day,7.9788461538461535
2817,2014-04-28,night,8.211363636363636
2818,2014-04-29,day,9.613461538461538
2819,2014-04-29,night,9.897727272727273
2820,2014-04-30,day,10.799999999999995
2821,2014-04-30,night,11.190909090909091
2822,2014-05-01,day,11.42884615384615
2823,2014-05-01,night,11.93409090909091
2824,2014-05-02,day,11.030769230769238
2825,2014-05-02,night,11.67045454545455
2826,2014-05-03,day,10.055769230769231
2827,2014-05-03,night,10.686363636363641
2828,2014-05-04,day,8.815384615384614
